GlobalEventID,is_supply_chain_relevant,impact_domain_draft,country,summary_kr,error_msg,affected_material,tone_score,event_type
956424813,True,지정학,Brazil,"브라질 아마존의 아피테레와 원주율 지역에서 불법 침입과 삼림 파괴가 급증하고 있으며, 이는 환경 보호 정책의 약화와 정부의 무관심에 기인하고 있다. 이 지역은 원주율 민족의 전통적인 거주지로, 2007년에 보호 구역으로 지정되었지만, 최근 몇 년간 외부인들의 불법적인 농업 및 벌목 활동으로 인해 삼림이 급격히 감소하고 있다. 이로 인해 생태계와 원주율 민족의 생존이 위협받고 있다.",,"[""timber"", ""forest""]",-0.8,deforestation
1085680617,False,기타,United States,이 기사는 버지니아의 포토그래퍼 마이클 웨이드가 버려진 건물들을 촬영하며 잃어버린 꿈과 그에 대한 이야기를 담고 있습니다. 공급망 리스크와는 관련이 없습니다.,,[],0.0,Documenting Abandoned Buildings
1041595054,True,지정학,Perú,"페루의 라스 밤바스 구리 광산에서 발생한 경찰의 강제 퇴거로 인해 3명이 부상하고 11명이 체포되었습니다. 이 사건은 중국 MMG 운영자에 대한 광부들의 시위와 관련이 있으며, 페루 정부는 비상사태를 선언했습니다. 이로 인해 공급망에 대한 리스크가 증가할 수 있습니다.",,"[""cobre""]",-0.5,protest
1086367402,True,지정학,United States,"메인주에서 그라나이트 페그마타이트를 주 암석으로 지정하려는 논의가 진행되고 있으며, 이는 주의 경제와 환경에 중요한 영향을 미칠 수 있는 자원으로 평가받고 있다. 이 암석은 리튬과 같은 핵심 광물을 포함하고 있어, 전 세계적으로 친환경 경제로의 전환에 기여할 수 있는 잠재력을 지니고 있다.",,"[""granitic pegmatite"", ""tourmaline"", ""lithium"", ""feldspar"", ""quartz"", ""beryl"", ""spodumene""]",0.5,Legislative Proposal
1126775200,True,기타,South Africa,"이 기사는 블루에티의 혁신적인 전력 솔루션을 통해 남아프리카 공화국의 전력 위기를 해결하려는 노력을 다루고 있습니다. 블루에티는 가정용 백업 전력 솔루션을 제공하여 전력 부족 문제를 완화하고 있으며, 다양한 제품을 통해 사용자들이 전력을 효율적으로 관리할 수 있도록 돕고 있습니다.",,"[""lithium iron phosphate""]",0.5,product launch
1253893240,False,기타,Canada,"이 기사는 캐나다의 역사와 과학 혁신에 대한 내용을 다루고 있으며, 공급망 리스크와는 관련이 없습니다.",,[],0.1,Philanthropy
1168023325,False,기타,South Africa,"이 기사는 남아프리카 공화국의 국경과 이민자들의 위험한 상황을 다루고 있으며, 공급망 리스크와는 관련이 없습니다.",,[],-0.5,Political Issue
1168023326,False,기타,South Africa,"이 기사는 남아프리카 공화국의 국경 지역에서 이주민들이 겪는 위험과 폭력에 대한 내용을 다루고 있습니다. 공급망 리스크와는 관련이 없으며, 이주민들의 생존을 위한 위험한 여정과 정치적 상황을 설명하고 있습니다.",,[],-0.5,Political Issue
932275587,True,기타,United States,"2021 Ford F-150은 미국에서 가장 많이 팔리는 트럭으로, 새로운 하이브리드 파워트레인과 다양한 기술적 혁신을 통해 생산성과 편안함을 개선하고 있습니다. 이 차량은 공급망 리스크와 관련하여 중요한 요소로 작용할 수 있습니다.",,"[""aluminum"", ""hybrid powertrain""]",0.5,product launch
1199261761,True,지정학,Zimbabwe,"짐바브웨의 리튬 채굴은 국가 경제 발전에 중요한 역할을 하고 있으며, 이는 공급망 리스크와 관련이 있습니다.",,"[""Lithium""]",0.0,Economic Development
1257530266,False,기타,United States,이 기사는 알래스카에 정착한 우크라이나 난민들의 심리적 고통과 그들이 겪고 있는 법적 불안정성을 다루고 있습니다. 공급망 리스크와는 관련이 없습니다.,,[],-0.5,Political Summit
904748105,True,지정학,Zimbabwe,"이번 사건은 짐바브웨의 연료 산업을 둘러싼 권력 다툼이 정치적 불안정성을 초래하고 있으며, 이는 공급망 리스크에 직접적인 영향을 미칠 수 있음을 보여줍니다. 특히, Trafigura와 Sakunda Holdings 간의 파트너십이 경제에 미치는 영향과 지역 내 다른 기업들과의 갈등이 심화되고 있습니다.",,"[""fuel"", ""oil"", ""cobalt""]",-0.5,political conflict
1077205474,True,지정학,Myanmar,"미얀마의 중국 운영 구리 광산 근처에서 군대의 배치로 인해 6,000명 이상의 주민들이 집을 떠났습니다. 이 사건은 군부의 통치 아래에서 발생한 정치적 불안정과 폭력의 일환으로, 광산 운영에 대한 위협이 커지고 있습니다. 이로 인해 공급망 리스크가 증가하고 있습니다.",,"[""copper""]",-0.5,military troop deployment
