supplier_id,supplier_code,supplier_name,country_code,supplier_status,risk_level,feoc_status,certifications,created_at,updated_at
SUP-AUS-01,AUS-1001,Pilbara Battery Minerals,AU,ACTIVE,NORMAL,false,ISO9001;ISO14001,2024-02-03T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-CHL-01,CHL-1001,Atacama Lithium Partners,CL,ACTIVE,NORMAL,false,ISO9001,2024-01-29T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-IDN-01,IDN-1001,Sulawesi Nickel Resources,ID,UNDER_REVIEW,WATCH,false,ISO9001;RMAP,2024-01-24T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-IDN-02,IDN-1002,Nusantara Metals,ID,ACTIVE,WATCH,false,ISO14001,2024-01-19T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-COD-01,COD-1001,Katanga Cobalt Mining,CD,ACTIVE,HIGH_RISK,false,RMAP,2024-01-14T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-COD-02,COD-1002,Lualaba Minerals,CD,ACTIVE,WATCH,false,RMAP,2024-01-09T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-CHN-01,CHN-1001,Eastern Graphite Group,CN,UNDER_REVIEW,HIGH_RISK,true,ISO9001,2024-01-04T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-CHN-02,CHN-1002,Inner Mongolia Anode Materials,CN,ACTIVE,HIGH_RISK,true,ISO14001,2023-12-30T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-KOR-01,KOR-1001,Han River Battery Materials,KR,ACTIVE,NORMAL,false,IATF16949;ISO9001,2023-12-25T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-KOR-02,KOR-1002,East Coast Metals,KR,ACTIVE,NORMAL,false,IATF16949,2023-12-20T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-CAN-01,CAN-1001,Northern Critical Minerals,CA,ACTIVE,NORMAL,false,ISO9001;RMAP,2023-12-15T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-FIN-01,FIN-1001,Nordic Battery Chemicals,FI,ACTIVE,NORMAL,false,ISO14001,2023-12-10T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-JPN-01,JPN-1001,Shinsei Foil Industries,JP,ACTIVE,NORMAL,false,IATF16949,2023-12-05T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-DEU-01,DEU-1001,Rhein Advanced Metals,DE,ACTIVE,NORMAL,false,IATF16949;ISO14001,2023-11-30T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-MYS-01,MYS-1001,Penang Advanced Materials,MY,ACTIVE,WATCH,false,ISO9001,2023-11-25T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-ZAF-01,ZAF-1001,Cape Manganese Resources,ZA,ACTIVE,NORMAL,false,ISO14001,2023-11-20T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-BRA-01,BRA-1001,Minas Battery Resources,BR,ACTIVE,NORMAL,false,ISO9001,2023-11-15T00:00:00+09:00,2026-07-21T00:00:00+09:00
SUP-USA-01,USA-1001,Nevada Critical Materials,US,ACTIVE,NORMAL,false,ISO9001;RMAP,2023-11-10T00:00:00+09:00,2026-07-21T00:00:00+09:00
