requestId,eventId,detectedAt,asOf,impactDomain,externalSignalScore,externalSignalLevel,affectedMaterialId,affectedSupplierId,affectedCountryCode,primaryContractId,eventSummary,erpAnalysisRequired
ERP-REQ-001,EVT-20260722-001,2026-07-22T08:00:00+09:00,2026-07-22T00:00:00+09:00,LOGISTICS,28,NORMAL,MAT-LI-CARB,SUP-CHL-01,CL,CTR-001,Synthetic Lithium Carbonate supply disruption scenario,true
ERP-REQ-002,EVT-20260722-002,2026-07-22T09:00:00+09:00,2026-07-22T00:00:00+09:00,PRODUCTION,34,NORMAL,MAT-LI-OH,SUP-AUS-01,AU,CTR-004,Synthetic Lithium Hydroxide supply disruption scenario,true
ERP-REQ-003,EVT-20260722-003,2026-07-22T10:00:00+09:00,2026-07-22T00:00:00+09:00,POLICY,58,WARNING,MAT-NI-SULF,SUP-IDN-01,ID,CTR-007,Synthetic Nickel Sulfate supply disruption scenario,true
ERP-REQ-004,EVT-20260722-004,2026-07-22T11:00:00+09:00,2026-07-22T00:00:00+09:00,LOGISTICS,82,CRITICAL,MAT-CO-SULF,SUP-COD-01,CD,CTR-010,Synthetic Cobalt Sulfate supply disruption scenario,true
ERP-REQ-005,EVT-20260722-005,2026-07-22T12:00:00+09:00,2026-07-22T00:00:00+09:00,POLICY,61,WARNING,MAT-GR-NAT,SUP-CHN-01,CN,CTR-013,Synthetic Natural Graphite supply disruption scenario,true
ERP-REQ-006,EVT-20260722-006,2026-07-22T13:00:00+09:00,2026-07-22T00:00:00+09:00,PRODUCTION,87,CRITICAL,MAT-GR-SYN,SUP-CHN-02,CN,CTR-016,Synthetic Synthetic Graphite supply disruption scenario,true
ERP-REQ-007,EVT-20260722-007,2026-07-22T14:00:00+09:00,2026-07-22T00:00:00+09:00,MARKET,45,WARNING,MAT-MN-SULF,SUP-ZAF-01,ZA,CTR-018,Synthetic Manganese Sulfate supply disruption scenario,true
ERP-REQ-008,EVT-20260722-008,2026-07-22T15:00:00+09:00,2026-07-22T00:00:00+09:00,LOGISTICS,55,WARNING,MAT-CU-FOIL,SUP-JPN-01,JP,CTR-021,Synthetic Copper Foil supply disruption scenario,true
ERP-REQ-009,EVT-20260722-009,2026-07-22T16:00:00+09:00,2026-07-22T00:00:00+09:00,MARKET,31,NORMAL,MAT-AL-FOIL,SUP-KOR-02,KR,CTR-024,Synthetic Aluminum Foil supply disruption scenario,true
ERP-REQ-010,EVT-20260722-010,2026-07-22T17:00:00+09:00,2026-07-22T00:00:00+09:00,GEOPOLITICS,91,CRITICAL,MAT-REE-ND,SUP-CHN-01,CN,CTR-027,Synthetic Neodymium Oxide supply disruption scenario,true
